A CONSULTING TEAM INC,1040792,7380
A JJ PHARMA CORP,1140452,9995
A.C. Moore Arts  Crafts  Inc.,1042809,5945
A21 INC,1074436,7389
AAB NATIONAL CO,1321506,9995
AAMES INVESTMENT CORP,1282552,6798
Aames Mortgage Investment Trust 2004-1,1310737,6189
AAON INC,0824142,3585
AAR CORP,0001750,3720
AARON RENTS INC,0706688,7359
AASTROM BIOSCIENCES INC,0887359,8731
AAVID THERMAL TECHNOLOGIES INC,1003481,3679
AB HOLDING GROUP  INC.,0842289,3089
AB WATLEY GROUP INC,1035632,6211
ABATIX CORP,0845779,5084
ABAXIS INC,0881890,2835
ABAZIAS INC,1096208,9995
ABB LTD,1091587,8742
ABBEY NATIONAL PLC,1087711,6029
ABBOTT LABORATORIES,0001800,2834
ABER DIAMOND CORP,0841071,1000
ABERCROMBIE  FITCH CO /DE/,1018840,5651
ABFC ASSET-BACKED CERTIFICATES SERIES 2004-OPT1,1278400,6189
ABFC ASSET-BACKED CERTIFICATES SERIES 2004-OPT2,1285680,6189
ABFC Asset-Backed Certificates  Series 2004-FF1,1299114,6189
ABFC Asset-Backed Certificates  Series 2004-HE1,1301683,6189
ABIGAIL ADAMS NATIONAL BANCORP INC,0356809,6021
Abington Community Bancorp  Inc.,1292898,6036
ABIOMED INC,0815094,3841
ABITIBI CONSOLIDATED INC,1039778,2621
ABLE ENERGY INC,1065728,5990
ABLE LABORATORIES INC,0857171,2835
ABLEAUCTIONS COM INC,1099290,7389
ABLEST INC,0046653,7363
ABM INDUSTRIES INC /DE/,0771497,7340
ABN AMRO HOLDING N V,1038727,6099
ABN AMRO MORT CORP MULTI CLASS MORT PASS THR CERT SER 2003-3,1221052,6189
ABN AMRO MORT CORP MULTI CLASS MORT PASS THR CERT SER 2003-4,1224889,6189
ABN AMRO MORT SEC MULTI CLASS MORT PSTHR CERTS SER 2003-13,1274440,6189
ABN AMRO MORTGAGE CORP SERIES 2002-9,1209252,6189
ABN AMRO MORTGAGE MULTI-CLASS MOR PAS THR CER SER 2003-11,1265030,6189
ABRAXAS PETROLEUM CORP,0867665,1311
Abraxis BioScience  Inc.,1141399,2834
ABSOLUTE POTENTIAL  INC.,1002360,2851
ABX AIR INC,0894081,4513
ACACIA RESEARCH CORP,0934549,3670
ACADIA PHARMACEUTICALS INC,1070494,2834
ACADIA REALTY TRUST,0899629,6798
ACAMBIS PLC,1073965,2834
ACCELLENT CORP.,1297885,3841
ACCELR8 TECHNOLOGY CORP,0727207,3826
ACCELRYS  INC.,1002388,7372
ACCENTURE LTD,1134538,7389
ACCENTURE SCA,1143908,8742
ACCESS INTEGRATED TECHNOLOGIES INC,1173204,7389
ACCESS NATIONAL CORP,1176316,6035
ACCESS PHARMACEUTICALS INC,0318306,2834
